"doc_id","page_name.y","ad_creative_bodies.y"
"doc266","michelly siqueira advogada","13Âº para o bpc 

como todos voces sabem a grande luta da minha vida sempre foi por melhoria na qualidade de vida das pessoas com deficiencia, doencas raras e idosos. alem de trabalhar pela desvinculacao da renda como criterio para concessao do bpc, tambem vou lutar para que essa pessoa com que tem direito ao beneficio receba o 13Âº salario bpc. 

os custos de uma pessoa idosa, com deficiencia ou doenca rara, sao extrema altos e a falta de apoio do poder publico sao pontos fundamentais para que essas pessoas recebem o 13Âº e possam ter mais dignidade em suas vidas. 

vote por quem sempre esteve ao seu lado, vote pelo 13Âº bpc. vote 7âƒ£0âƒ£4âƒ£4âƒ£ michelly siqueira deputada federal. 

â¡ï¸ marque +05 amigos que precisam do 13Âº bpc. 
â¡ï¸ compartilhe nos grupos de familias e pessoas com deficiencia. 
â¡ï¸ compartilhe com amigos e familiares. 

#bpc #loas #mg #bh #autismo #pessoacomdeficiencia #tdah #michellysiqueiraadvogada #luta #dignidade #familia #renda"
"doc299","igor timo","amigos e amigas de machado, com a conviccao do dever cumprido, venho aqui renovar o meu desejo de continuar representando minas gerais no congresso nacional. 
indiquei r$ 450 mil para a cidade, que melhoraram a vida do povo machadense. 
vamos juntos continuar trabalhando pelo brasil e muito mais por minas gerais! por isso, peco mais uma vez a confianca do seu voto."
"doc343","fernando pimentel","ola meu amigo e minha amiga da passos 
na camara dos deputados, vamos ajudar lula a reconstruir o brasil.

precisamos de uniao para recuperar minas gerais.

dia 02 de outubro, precisamos escolher a democracia. 

o brasil precisa de lula.

conto com o seu apoio. 

encaminhe este video para seus amigos e parentes."
"doc387","dr. mario heringer","recebi um comunicado da faemg que me deixou preocupadissimo! 

lutamos fortemente para que os municipios de bandeira, felisburgo, jacinto, jordania, mata verde, rubim, salto da divisa e santa maria do salto fossem incorporados a sudene, mas seu conselho deliberativo - condel - agora se prepara para a exclusao dessas cidades. um absurdo! 

encaminhei um oficio a superintendencia afirmando que a justificativa deles nao esta correta e que nos vamos brigar por essa causa! 

vamos nos unir em prol de minas gerais e dos nossos direitos! 

para que eu possa continuar nessa batalha, peco seu voto para deputado federal: mario heringer 1234!

#sudene #minasgerais #buscadosnossosdireitos #vote1234 #marioheringer"
"doc425","fernando pimentel","ola meu amigo e minha amiga da passos 
na camara dos deputados, vamos ajudar lula a reconstruir o brasil.

precisamos de uniao para recuperar minas gerais.

dia 02 de outubro, precisamos escolher a democracia. 

o brasil precisa de lula.

conto com o seu apoio. 

encaminhe este video para seus amigos e parentes."
"doc484","aecio neves","aecio fez o proacesso e o asfalto chegou pra voce em bandeira! 

âœ…quem ja fez muito por minas gerais, vai fazer muito mais! deputado federal e aecio 4500."
"doc487","eduardo tardiole","quais razoes me fizeram candidatar a deputado federal?

desde a adolescencia fui engajado com questoes sociais. em 2017 quando iniciamos o projeto acao da cidadania, na cidade de machado, imaginava que seria um projeto momentaneo. 

mas, desde o dia 15 de novembro daquele ano, apos o lancamento da campanha natal sem fome, ate hoje, nao tem um diaa da minha vida, que nao seja dedicado a lutar contra a fome e a miseria. 

assista o video da minha entrevista na radio difusora live e saiba mais sobre as razoes que me fizeram a candidatar!

#vamoqvamo #politica #deputadofederal #candidato #povo #fome #sustentabilidade #educacao #minasgerais #estado #pais #eleicao"
"doc532","paulo abi-ackel","registros da noite de ontem, em ouro preto, cidade de imensa contribuicao historica para minas gerais, onde eu tenho a honra de ser votado e contar com o apoio dos ex-prefeitos julio pimenta e jose leandro, vereadores mercinho, naercio e luciano, ex-vereadores e diversas liderancas politicas reconhecidas pelo trabalho que fazem em prol do desenvolvimento da regiao dos inconfidentes.
confira no video cada detalhe do nosso encontro!"
"doc556","igor timo","amigos e amigas de machado, com a conviccao do dever cumprido, venho aqui renovar o meu desejo de continuar representando minas gerais no congresso nacional. 
indiquei r$ 450 mil para a cidade, que melhoraram a vida do povo machadense. 
vamos juntos continuar trabalhando pelo brasil e muito mais por minas gerais! por isso, peco mais uma vez a confianca do seu voto."
"doc606","ana valentini","ğŸ”¶conheca o #timevalentia 

esta e minha parceira de jornada elaine maia (@elainemaiaadv) e advogada e mae, natural de passos, filha do empreendedor e militar, nascimento e da inspetora escolar, terezinha maia, muito atuantes na comunidade, que a ensinaram a importancia do estudo, trabalho duro e do voluntariado. decidiu ser candidata a deputada estadual, pois percebeu que, de nada adianta ter boas ideias, bons projetos, se quem faz as leis nao quiser implementar, e e por isso que ela quer estar la na assembleia de minas gerais.

ğŸ”¶ comite elaine maia - rua jose mechioratto, nÂº 150 - santa casa. passos - mg
rua la salles, nÂº 277a - sao sebastiao do paraiso - mg

pra seguir no rumo certo e 3âƒ£0âƒ£ de novo zema governador!
ana valentini e 3038 para deputada federal!
elaine maia e 30123 para deputada estadual!

valentia para fazer diferente!
minas gerais precisa de voce!
minas gerais precisa da gente!

#anavalentini #deputadafederal #minasgerais #valentiaprafazerdiferente #sensibilidadeprafazeradiferenca"
"doc653","odair cunha","juntos por passos!

chegamos em passos, onde visitei a capela centenaria nossa senhora da penha e conversei com representantes da associacao do circuito turistico nascentes das gerais e canastra, na associacao dos municipios da microrregiao do medio rio grande (ameg). falei das minhas propostas para incentivar o turismo regional e, logo depois, caminhei pelas ruas de passos, reforcando meu proposito de trabalhar por minas gerais. muito obrigado pela presenca e acolhida, arnaldo; juarez 13.007, candidato a deputado estadual; e luiz carlos, presidente do pt. conto com o apoio de todos no dia 02 de outubro! para federal, e odair 1307!

somente no ultimo mandato, a saude recebeu r$800 mil, ğŸ´destinados para a estruturacao do centro de atendimento ao diabetico e o hospital regional do cancer. ğŸ´indicamos uma viatura para a policia militar. nosso trabalho pelo municipio tambem gerou frutos para a educacao, por meio da construcao de escolas e creches ğŸ´.

#minasgerais #vamosjuntospelobrasil #deputadofederal #deputado #trabalho #fe #trabalhoefe #odair1307 #passos"
"doc762","igor timo","desde o inicio do meu mandato, tenho trabalhado incansavelmente para colocar em pratica acoes e programas para garantir mais qualidade de vida ao povo mineiro. minha trajetoria na camara federal possibilitou o atendimento as necessidades das pessoas nas mais diversas areas, como saude, educacao, seguranca, desenvolvimento regional, assistencia social e acoes de combate a fome. sempre tive como prioridade os mais vulneraveis e as cidades mais carentes.

apos quatro anos de mandato, o desafio de continuar no congresso se renova em minha trajetoria. os obstaculos sao inumeros, mas a vontade de trabalhar pela dignidade e melhoria da qualidade de vida do povo mineiro fortalece os meus passos na minha caminhada parlamentar.

nao prometi, mas fiz e quero continuar fazendo. venha comigo! vote 1999 - igor timo, o seu deputado federal."
"doc874","aecio neves","aecio neves fez o proacesso e o asfalto chegou para voce em bandeira.

âœ… quem ja fez muito por minas gerais, vai fazer muito mais! deputado federal e #aecio4500"
"doc875","aecio neves","aecio neves fez o proacesso e o asfalto chegou para voce em jose goncalves de minas ate leme do prado.

âœ… quem ja fez muito por minas gerais, vai fazer muito mais! deputado federal e #aecio4500"
"doc883","odair cunha","juntos por turvolandia!

ao lado do companheiro de caminhada, deputado ulysses gomes, recebi o apoio do povo de turvolandia durante o adesivaco da nossa campanha na praca matriz. tenho uma longa historia nessa cidade querida e quero continuar o trabalho pelo acesso a saude, seguranca e educacao de qualidade! agradeco pela acolhida prefeito ze nelsinho; vice-prefeita tiziu; iorides oliveira, vereadora e presidente da camara; amarildo, vereador; secretarios igor augusto e cassiano; alem de diversas liderancas e apoiadores. contem sempre comigo para lutar pelos direitos de minas gerais no congresso nacional! no dia 02 de outubro, vote odair 1307!

somente no ultimo mandato, em parceria com ulysses, enviamos mais de r$1 milhao para custeio da saude ğŸ´. o cras recebeu r$500 mil para obras. destinamos r$850 mil para a prefeitura, utilizados em diversas demandas, como calcamentos. ğŸ´a educacao foi beneficiada com equipamentos e mobiliario. ğŸ´ï¸tambem apoiamos a obra de recuperacao do pavimento asfaltico e do acostamento da mg-179, entre machado e pouso alegre, que beneficiou outros municipios como carvalhopolis, poco fundo, sao joao da mata, silvanopolis e espirito santo do dourado.

#minasgerais #vamosjuntospelobrasil #deputadofederal #deputado #trabalho #fe #trabalhoefe #odair1307 #ulysses13077 #turvolandia"
"doc971","charlles evangelista","c(""assista o video ate o final e veja tudo o que fizemos por paiva em nosso mandato! estamos so comecando, e vamos fazer muito mais!!!\n\npara deputado federal - charlles evangelista 1132\npara deputada estadual - delegada sheila 22032"", ""assista o video ate o final e veja tudo o que fizemos por paiva em nosso mandato! estamos so comecando, e vamos fazer muito mais!!!\n\npara deputado federal - charlles evangelista 1132\npara deputada estadual - delegada sheila 22032"")"
"doc973","charlles evangelista","c(""assista o video ate o final e veja tudo o que fizemos por extrema em nosso mandato! estamos so comecando, e vamos fazer muito mais!!!\n\npara deputado federal - charlles evangelista 1132\npara deputada estadual - delegada sheila 22032"", ""assista o video ate o final e veja tudo o que fizemos por extrema em nosso mandato! estamos so comecando, e vamos fazer muito mais!!!\n\npara deputado federal - charlles evangelista 1132\npara deputada estadual - delegada sheila 22032"")"
"doc977","igor timo","valorizar o profissional da saude sempre foi uma bandeira do nosso mandato. em quatro anos de caminhada, foram muitas as realizacoes para assegurar os direitos de trabalhadores que estao na linha de frente pela protecao a vida.

ciente da importancia da categoria, votei favoravelmente a aprovacao da pec 11/2022, que garante a criacao do piso salarial da enfermagem em todo o territorio nacional, no valor de r$ 4.750, 00.

alem disso, indicamos r$ 132 milhoes de reais em emendas para saude, que beneficiaram os hospitais de 46 cidades. mais do que trabalho, cuidar da saude e obrigacao!

vamos juntos seguir na luta pela categoria e pela saude em minas gerais. vote 1999! igor timo, o seu deputado federal."
"doc1017","aecio neves","teofilo otoni sempre esteve no meu coracao!

sao muitas as memorias que guardo, especialmente as que dividi com meu pai, aecio cunha, que sempre foi um apaixonado por essa terra. foi tambem aqui que o meu avo, tristao da cunha, deu seus primeiros passos em defesa de uma minas gerais e de um brasil melhor.

durante os meus governos, e no congresso, tenho trabalhado para melhorar a vida de todos aqui na cidade.

hoje, ainda mantenho viva a esperanca e a certeza de poder fazer mais por essa regiao tao especial!

vamos, juntos, continuar trabalhando por uma minas melhor para os mineiros!"
"doc1027","charlles evangelista","c(""assista o video ate o final e veja tudo o que fizemos por passos em nosso mandato! estamos so comecando, e vamos fazer muito mais!!!\n\npara deputado federal - charlles evangelista 1132"", ""assista o video ate o final e veja tudo o que fizemos por passos em nosso mandato! estamos so comecando, e vamos fazer muito mais!!!\n\npara deputado federal - charlles evangelista 1132"")"
"doc1032","charlles evangelista","c(""assista o video ate o final e veja tudo o que fizemos por machado em nosso mandato! estamos so comecando, e vamos fazer muito mais!!!\n\npara deputado federal - charlles evangelista 1132"", ""assista o video ate o final e veja tudo o que fizemos por machado em nosso mandato! estamos so comecando, e vamos fazer muito mais!!!\n\npara deputado federal - charlles evangelista 1132"")"
"doc1233","fernando pimentel","ola meu amigo e minha amiga de passos.

na camara dos deputados, vamos ajudar lula a reconstruir o brasil.

precisamos de uniao para recuperar minas gerais. 

dia 02 de outubro, precisamos escolher a democracia.

o brasil precisa de lula.

conto com seu apoio!

encaminhe este video para seus amigos e parentes."
"doc1356","braulio braz","hoje, estive no comando geral da policia militar de minas gerais acompanhado do meu grande amigo e vice-prefeito de machado, joelzinho mendes, para apresentar ao comandante geral da pmmg, coronel rodrigo sousa, demandas da populacao machadense.
na ocasiao, solicitamos o aumento efetivo da policia militar no municipio, com a intencao de seguir aprimorando e aumentando a seguranca do povo mineiro."
"doc1423","deputado federal dimas fabiano","ğŸ™ï¸ğŸ¯™ğŸŸ™â€ğŸŸ™
ja estao na conta da prefeitura de machado r$ 500 mil para serem investidos na revitalizacao da primeira etapa do lago artificial da cidade, fortalecendo o turismo da regiao e gerando ainda mais lazer e qualidade de vida para a populacao.

esse recurso foi possivel atraves de emenda parlamentar de minha autoria atendendo a solicitacao do prefeito maycon, do presidente da camara municipal, vereador roger, e dos vereadores dirce e juliano campos, juntamente com o grupo politico que me apoia na cidade.

fico muito feliz de participar de mais essa conquista para machado! os machadenses podem sempre contar comigo na camara dos deputados e em minas gerais! 

#machado #machadomg #maisrecursos #lazer #turismo #minasgerais #mg #deputadodimasfabiano #depdimasfabiano
ğŸ™ï¸ğŸ¯™ğŸŸ™â€ğŸŸ™"
"doc1430","deputado federal dimas fabiano","ğŸ™ï¸ğŸ¯™ğŸŸ™â€ğŸŸ™
ja estao na conta da prefeitura de sapucai-mirim r$ 200 mil em recursos para serem investidos na continuacao do calcamento da estrada municipal jose de paiva e silva, do bairro ponte nova, sentido ao bairro do nogueiras, trazendo mais desenvolvimento para a zona rural e qualidade de vida para a populacao. 

esse valor foi liberado atraves de emenda parlamentar de minha autoria atendendo a solicitacao do ex-prefeito jefferson renno e dos vereadores batata da ponte nova, wando e zetinho do juncal, juntamente com o grupo politico que me apoia na cidade.

fico muito feliz de participar de mais essa conquista para sapucai-mirim! os sapucaienses pode sempre contar comigo na camara dos deputados e em minas gerais!

#sapucaimirim #sapucaimirimmg #maisrecursos #minasgerais #mg #deputadodimasfabiano #depdimasfabiano
ğŸ™ï¸ğŸ¯™ğŸŸ™â€ğŸŸ™"
"doc1441","deputado federal dimas fabiano","ğŸ™ï¸ğŸ™ğŸ¯™
ja estao na conta da prefeitura de goncalves r$ 150 mil para serem investidos no custeio das despesas com a area da saude do municipio, beneficiando a cidade com um atendimento publico de qualidade e que atenda as necessidades da populacao.

esse recurso foi possivel atraves de emenda parlamentar de minha autoria atendendo a solicitacao do presidente da camara municipal, julio cezar, dos vereadores expedito sorriso, maria do clovis, marquinho, professor tirso, paulinho targino, marquinhos dias e pele do sertao, dos ex-vereadores adilson e anderson abobrinha e da lideranca sueli do vena, juntamente com o grupo politico que me apoia na cidade.

fico muito feliz de participar de mais essa conquista para goncalves! os goncalvenses podem sempre contar comigo na camara dos deputados e em minas gerais! 

#goncalves #goncalvesmg #maisrecursos #saude #minasgerais #mg #deputadodimasfabiano #depdimasfabiano
ğŸ™ï¸ğŸ™ğŸ¯™"
"doc1467","braulio braz","durante meu mandato, me comprometi com meus parceiros a desempenhar meu maximo para desenvolver cada vez mais minas gerais.
e por isso atraves de minha indicacao, divino recebeu um repasse no valor de r$ 200.000,00, destinado a custeios na area da saude.
essa indicacao e consequencia da minha parceria com o municipio de divino e com nossas liderancas locais, que nos apoiam buscando melhor para o seu povo."
"doc1468","braulio braz","durante meu mandato, me comprometi com meus parceiros a desempenhar meu maximo para desenvolver cada vez mais minas gerais.
e por isso atraves de minha indicacao, bandeira do sul recebeu um repasse no valor de r$ 200.000,00, destinado a custeios na area da saude.
essa indicacao e consequencia da minha parceria com meu amigo e prefeito edervan, que vem realizando um otimo mandato e demais liderancas que sempre nos apoiam buscando o melhor para o seu povo e seu estado."
"doc1470","paulo abi-ackel","voce utiliza os servicos de saude em caputira ou conhece alguem que precisa? tem mais recursos chegando para reforcar o setor. 

se a sua resposta para a pergunta acima for sim, eu tenho uma boa noticia para voce: enviei mais r$ 250.000,00 para investimento em saude em caputira e o valor foi pago na ultima semana. o recurso foi um pedido do meu amigo e prefeito da cidade, celso goncalves, ao lado dos nossos vereadores da camara municipal. 

peco a todos que ajudem a divulgar esta acao que faz a diferenca na vida da populacao de caputira."
"doc1471","deputado federal dimas fabiano","ğŸŒ‡ğŸŒ‡
+ saude para machado!
ja estao na conta da prefeitura de machado r$ 500 mil para serem investidos na construcao do centro de imagem da santa casa do municipio, beneficiando a regiao com um atendimento publico de primeira qualidade e que atenda as necessidades da populacao. 

esse valor foi liberado atraves de emenda parlamentar de minha autoria em parceria com o senador rodrigo pacheco (psd-mg), atendendo a solicitacao do prefeito maycon, do presidente da camara municipal, vereador roger, e dos vereadores dirce e juliano campos, juntamente com o grupo politico que me apoia na cidade.

fico muito feliz de participar de mais essa conquista para machado! os machadenses podem sempre contar comigo na camara dos deputados e em minas gerais! 

#machado #machadomg #maisrecursos #saude #minasgerais #mg #deputadodimasfabiano #depdimasfabiano
ğŸŒ‡ï¸ğŸŒ‡ğŸ¬‡"
"doc1472","odair cunha","capacitacao profissional em passos! 

os alunos e alunas dos cursos de cuidador de idosos, auxiliar administrativo e corte e costura do capacita sul de minas em passos concluiram seus estudos, e foi um prazer participar da entrega dos certificados. estiveram conosco o coordenador do projeto, clayton, o diretor-geral do ifsuldeminas campus passos, joao paulo, os professores policardo, michelle, jussara, lucia e patricia e o parceiro wanderley salatiel, do instituto antonia maria, onde as aulas foram realizadas. parabens a todos e todas pela conclusao dos cursos. esperamos que esse seja o primeiro passo na caminhada rumo a uma vida melhor e com mais oportunidades!

ğŸ¡ o capacita sul de minas e uma iniciativa do instituto federal de educacao, ciencia e tecnologia do sul de minas gerais que conta com r$ 3 milhoes destinados pelo nosso mandato. ao final do projeto, serao mais de 20 mil pessoas beneficiadas em mais de 100 municipios, com 25 cursos de formacao continuada e pos-graduacao gratuitos. 

#educacao #capacitacaoprofissional #mercadodetrabalho #trabalho #presenca #parceria #ifsuldeminas #compromisso #semprecomvoce #passos"
"doc1473","odair cunha","novos kits de enxoval para santa casa de passos! 

alem de gerar oportunidade de emprego e renda para as familias, o capacita sul de minas tambem tem uma importante funcao social: os enxovais com lencois, fronhas e camisolas produzidos pelos alunos do curso de corte e costura sao doados para hospitais da regiao. a santa casa de misericordia de passos e uma das entidades beneficiadas e hoje realizamos a entrega de 180 kits para a instituicao, produzidos no ifsuldeminas - campus passos.

nos acompanharam o superintendente geral da santa casa, daniel soares, o gestor de recursos, rodrigo e o medico presidente, dr. fabian; o relacoes institucionais, paulo cesar, e a supervisora de captacao de recursos, elidiane rodrigues; alem dos representantes do ifsuldeminas, professores jussara e clayton, coordenador do projeto; o diretor-geral do campus, joao paulo, e o amigo juarez moreira. continuem contando com nosso trabalho e parceria!

ğŸ–¯ o capacita sul de minas e uma iniciativa do instituto federal de educacao, ciencia e tecnologia do sul de minas gerais que conta com r$ 3 milhoes destinados pelo nosso mandato. ao final do projeto, serao mais de 20 mil pessoas beneficiadas em mais de 100 municipios, com 25 cursos de formacao continuada e pos-graduacao gratuitos.

#educacao #capacitacaoprofissional #mercadodetrabalho #saude #santacasa #solidariedade #trabalho #presenca #parceria #ifsuldeminas #compromisso #semprecomvoce #passos"
"doc1478","odair cunha","mais seguranca pra passos! 

temos compromisso com a seguranca publica e, em passos, reforcamos essa missao entregando a nova viatura para a policia militar destinada pelo nosso mandato. o veiculo chega para reforcar a frota da corporacao e qualificar os servicos prestados pelos policiais na protecao do nosso povo e da nossa gente. estiveram presentes na entrega o ten. cel. charles, o ten. bruno, o presidente do sindicato dos trabalhadores do comercio de passos - sindcom, davi, e as liderancas levi, cesar e juarez moreira. continuem contando com nosso trabalho e apoio!  

#policiamilitar #pm #pmmg #segurancapublica #trabalho #presenca #parceria #compromisso #semprecomvoce #passos"
